iter	Passed	Remaining
849	17531	3093
850	17549	3072
851	17567	3051
852	17586	3030
853	17605	3009
854	17624	2988
855	17645	2968
856	17666	2947
857	17690	2927
858	17711	2907
859	17732	2886
860	17753	2866
861	17774	2845
862	17794	2824
863	17817	2804
864	17841	2784
865	17862	2763
866	17883	2743
867	17905	2722
868	17925	2702
869	17945	2681
870	17965	2660
871	17985	2640
872	18005	2619
873	18024	2598
874	18046	2578
875	18071	2558
876	18092	2537
877	18113	2516
878	18134	2496
879	18154	2475
880	18173	2454
881	18195	2434
882	18215	2413
883	18238	2393
884	18258	2372
885	18278	2351
886	18299	2331
887	18317	2310
888	18336	2289
889	18356	2268
890	18375	2247
891	18395	2227
892	18415	2206
893	18433	2185
894	18451	2164
895	18469	2143
896	18487	2122
897	18504	2101
898	18523	2081
899	18543	2060
900	18560	2039
901	18580	2018
902	18600	1998
903	18618	1977
904	18639	1956
905	18657	1935
906	18675	1914
907	18692	1893
908	18710	1873
909	18728	1852
910	18745	1831
911	18764	1810
912	18783	1789
913	18801	1769
914	18819	1748
915	18839	1727
916	18859	1707
917	18878	1686
918	18898	1665
919	18916	1644
920	18933	1624
921	18952	1603
922	18972	1582
923	18991	1562
924	19009	1541
925	19027	1520
926	19046	1499
927	19065	1479
928	19085	1458
929	19103	1437
930	19122	1417
931	19140	1396
932	19158	1375
933	19178	1355
934	19195	1334
935	19215	1313
936	19234	1293
937	19253	1272
938	19273	1252
939	19290	1231
940	19308	1210
941	19325	1189
942	19344	1169
943	19362	1148
944	19381	1128
945	19401	1107
946	19419	1086
947	19438	1066
948	19456	1045
949	19473	1024
950	19491	1004
951	19509	983
952	19527	963
953	19545	942
954	19564	921
955	19585	901
956	19604	880
957	19622	860
958	19639	839
959	19658	819
960	19676	798
961	19694	777
962	19711	757
963	19728	736
964	19745	716
965	19762	695
966	19779	675
967	19798	654
968	19816	633
969	19834	613
970	19854	592
971	19873	572
972	19891	551
973	19908	531
974	19925	510
975	19943	490
976	19960	469
977	19979	449
978	19997	428
979	20015	408
980	20034	388
981	20052	367
982	20072	347
983	20092	326
984	20110	306
985	20127	285
986	20146	265
987	20165	244
988	20183	224
989	20204	204
990	20223	183
991	20243	163
992	20263	142
993	20281	122
994	20299	102
995	20317	81
996	20334	61
997	20351	40
998	20370	20
999	20389	0
